TM	HITTERS	AB	SO vlhp	BB v lhp	HIT v lhp	OB v lhp	TB v lhp	HR v lhp	BP v lhp	CL v lhp	DP v lhp	SO v rhp	BB v rhp	HIT v rhp	OB v rhp	TB v rhp	HR v rhp	BP v rhp	CL v rhp	DP v rhp	STEALING	STL	SPD	B	H	CA	1B	2B	3B	SS	LF	CF	RF	FIELDING
CHA	"Abreu,J"	624	21	9	18	32	35	4.4	8	0	25	15	4	29.3	38.3	39.2	1.6	3	0	26	"4,5/- (3-1)"	E	11	D	B		411							1b-4e11
CON	"Adames,C+"	225	24	10	13.5	27.5	25.8	0	w	-4	17	14	11	11.9	26.9	19.8	2.3	w	-7	17	2-5/7 (13-4)	D	13	B	C			327	324	321				ss-3e21 2b-3e27 3b-3e24
SLN	"Adams,M*"	297	25	0	15.5	17.5	30.7	3.8	7	8	17	33	7	16.5	25.5	36.2	4.3	8	8	16	"5,6/- (3-1)"	E	10	D	D		317							1b-3e17
ARN	"Ahmed,N"	284	10	0	20.6	23.6	28.2	1	1	-5	24	20	2	13.9	18.9	20.8	2	w	-5	23	"*5,6/- (16-11)"	C	15	C	C					220				ss-2e20
CLA	"Almonte,A+"	182	28	1	26.6	28.6	57.8	3.3	w	6	21	22	0	22	23	38.7	0	w	6	21	"*4,5/- (20-13)"	B	14	D	C						207	307	207	rf-2(-2)e7 lf-2e7 cf-3e7
CHN	"Almora,A"	112	2	0	26.5	26.5	55.2	3.3	5	6	34	19	4	26.1	30.1	46.1	3	w	6	33	-/- (---)	E	13	D	C						208	208	208	cf-2(-2)e8 lf-2e8 rf-2e8
OAA	"Alonso,Y*"	482	7	7	17.9	24.9	27.2	0.5	0	4	25	8	9	21.9	30.9	38.9	2.8	w	4	25	3/- (15-6)	D	11	D	C		205		437					1b-2e5 3b-4e37
PHN	"Altherr,A"	198	27	14	15.3	35.3	22.5	1	0	5	16	44	12	7.9	25.9	9.7	0.6	0	5	16	*2-5/- (18-12)	B	14	D	D						203	203	203	rf-2(-2)e3 lf-2e3 cf-2e3
HOA	"Altuve,J"	640	0	12	29.1	43.1	44.8	1.4	2	0	19	0	6	39	47	56	2.5	4	0	21	"*2-5,12/- (18-13)"	A	17	B	B			208		448				2b-2e8 ss-4e48
BAA	"Alvarez,P*"	337	26	7	20	27	31.4	1.8	2	-3	12	34	12	17.2	29.2	41.2	5.9	8	-3	12	2/- (20-6)	E	11	D	D				565					3b-5e65
SDN	"Amarista,A*"	140	16	0	3.2	3.2	3.2	0	w	6	28	16	1	26.7	27.7	26.7	0	w	6	28	"*2-5,11,12/- (19-13)"	B	13	C	C			308	315	321	306		406	2b-3e8 ss-3e21 rf-4(+1)e6 3b-3e15 lf-3e6
CHA	"Anderson,T"	410	35	0	37.5	37.5	46.7	0.8	0	-14	23	36	0	29.7	29.7	44.7	1	0	-14	30	*7/- (19-11)	B	16	B	C					324				ss-3e24
TEA	"Andrus,E"	506	6	7	37.7	46.7	59.5	3.4	w	12	27	3	11	25.8	38.8	44.7	2.8	w	11	25	"*2-5,12/- (18-13)"	A	16	B	B					219				ss-2e19
SEA	"Aoki,N*"	417	0	10	19	34	20.6	0	w	-9	14	0	6	31.9	42.9	50.6	2.5	w	-9	15	"*2-6,11,12/8,10 (15-6)"	D	12	B	B						402	402		lf-4(0)e2 cf-4e2
MLN	"Arcia,Or"	201	17	22	23.8	45.8	38.3	0.3	0	-2	20	24	2	13.8	15.8	24.5	0.8	0	-2	26	*7/- (20-12)	B	15	C	C					216				ss-2e16
SDN	"Arcia,Os*"	202	52	13	9	23	14.8	0	w	2	0	53	7	9.4	17.4	21.5	3.6	6	2	0	"4,5/11 (13-5)"	E	12	D	D						407		407	rf-4(-1)e7 lf-4e7
CON	"Arenado,N"	618	15	11	19.3	31.3	39.8	4.5	5	-2	20	6	10	25.6	36.7	52	5.8	8	-2	21	5/11 (13-4)	E	11	C	C				113					3b-1e13
PHN	"Asche,C*"	197	48	5	18.2	25.2	26.6	0	w	1	5	29	9	12.9	24	24.8	0.8	1	1	5	*6/- (17-6)	C	11	D	D						503			lf-5(+1)e3
CHA	"Avila,A*"	169	38	28	13	41.9	23.8	3.6	6	-6	11	41	30	8.6	39.7	16.3	2	3	-2	7	-/- (---)	E	8	D	D	303								"c-3(0)e3,T-4(pb-2)"
DEA	"Aviles,M"	167	5	7	12.2	21.2	12.2	0	w	-10	26	13	0	15.4	17.4	27.2	2	w	-7	27	"*2-6,12/8 (15-7)"	D	13	B	C			312	365	468	405	505	505	rf-5(+1)e5 2b-3e12 3b-3e65 ss-4e68 lf-4e5 cf-5e5
DEA	"Aybar,E+"	415	20	0	18.7	21.7	24.1	0	w	0	30	7	7	20.6	30.6	30.5	2	w	0	27	"5,6/10-12 (13-4)"	D	13	B	B			341	335	321				ss-3e21 3b-3e35 2b-3e41
CHN	"Baez,J"	421	18	0	33.3	38.3	44.1	1.5	2	-9	15	32	0	23.4	28.4	32.6	2	3	-9	15	"*4,6/- (18-12)"	B	13	A	D		425	123	228	216	416			2b-1e23 3b-2e28 ss-2e16 1b-4e25 lf-4(0)e16
LAA	"Bandy,J"	209	20	11	14.9	29.9	32.9	3.6	6	-2	20	11	0	20.1	24.1	27.5	2	3	-12	24	2/- (20-6)	E	8	C	C	205								"c-2(0)e5,T-3(pb-1)"
CON	"Barnes,B"	100	28	0	14.7	16.7	24.5	0	w	5	0	40	0	14.7	16.7	30.7	0	w	5	0	"*2-6,9/7,8,10-12 (15-4)"	D	15	A	D						206	306	206	lf-2(-1)e6 cf-3e6 rf-2e6
TOA	"Barney,D"	279	7	6	33.8	40.8	39.3	0.3	0	-12	25	13	8	22.3	31.3	35.8	2.3	w	-12	25	"4,6/11 (13-6)"	D	13	C	C			220	328	207	425			2b-2e20 3b-3e28 ss-2e7 lf-4(+2)e25
CIN	"Barnhart,T+"	377	37	0	11.9	12.9	14.1	0.8	1	11	24	11	7	24.1	32.1	33.2	0.3	0	10	22	2/- (20-6)	E	9	C	B	203								"c-2(-1)e3,T-7(pb-1)"
TOA	"Bautista,J"	423	9	20	8.5	30.5	21.7	3.5	6	5	26	23	30	10.2	42.2	24	2.8	5	5	26	6/12 (13-5)	E	11	D	D		418						404	rf-4(0)e4 1b-4e18
SFN	"Beckham,G"	245	19	11	12.4	26.5	21.5	0.9	1	5	30	15	12	11.6	26.7	22.3	0.4	0	5	29	2/- (20-6)	E	12	D	B			308	313	420				2b-3e8 3b-3e13 ss-4e20
TBA	"Beckham,T"	198	48	10	26.8	37.8	42	0.5	1	-10	11	41	3	17.6	21.6	38.6	1.3	2	-2	11	"4,6/- (13-6)"	D	11	D	D		325	326	435	429				ss-4e29 2b-3e26 1b-3e25 3b-4e35
PIN	"Bell,J+"	128	6	20	10.1	30.1	10.1	0	w	1	19	6	21	23	44	35.2	1.3	1	1	17	3-6/- (3-1)	E	11	D	C		529						513	1b-5e29 rf-5(0)e13
SFN	"Belt,B*"	542	23	22	22.6	46.6	44.8	2.8	5	-1	12	28	24	19.4	45.4	34.1	1.3	3	-1	13	"2-5,11,12/- (3-1)"	E	11	D	B		209				425			1b-2e9 lf-4(0)e25
TEA	"Beltran,C+"	552	17	4	36.6	41.6	58.9	4.4	7	-9	23	14	2	26.8	29.8	43.9	3.8	5	-9	25	2/- (20-6)	E	10	D	C								503	rf-5(-1)e3
TEA	"Beltre,A"	583	0	11	30.6	43.6	54.5	5.8	8	1	15	0	5	26.4	33.4	43.7	4	6	1	16	3/- (13-5)	E	12	D	C				112					3b-1e12
BOA	"Benintendi,A*"	105	51	12	18.5	32.5	18.5	0	w	6	0	13	9	30.7	41.7	59.5	1	2	6	0	2/- (20-6)	E	14	D	D						206	306		lf-2(0)e6 cf-3e6
SDN	"Bethancourt,C"	193	48	10	18.2	28.2	25.4	1	0	6	19	31	1	15.8	16.8	26.6	2.2	3	6	34	"2-5,11,12/8-10 (13-4)"	E	12	D	D	401		571			420		420	"c-4(-1)e1,T-11(pb-5) rf-4(-1)e20 lf-4e20 2b-5e71"
BOA	"Betts,M"	672	0	4	19.5	24.5	42.2	5.2	8	4	17	1	7	34.3	42.3	53.2	3	4	3	16	"*4,5/- (19-12)"	A	17	C	C								101	rf-1(-3)e1
CON	"Blackmon,C*"	578	5	4	35.9	44.9	45.4	1.4	2	3	2	15	4	27.8	36.8	51.5	4.6	7	3	2	"*2-6,9/- (15-12)"	B	15	A	C							304		cf-3(0)e4
PHN	"Blanco,A+"	190	26	6	12.2	26.2	22	0	w	6	27	18	0	22.9	30.9	38.5	1.5	1	6	29	"*3-6/8,10 (15-5)"	D	13	D	B		325	322	339	305	516			3b-3e39 2b-3e22 ss-3e5 1b-3e25 lf-5(+2)e16
SFN	"Blanco,G*"	241	6	10	17.1	28.1	22.9	0	w	-1	20	23	11	14.2	26.2	25.7	1.2	w	-1	20	"*2-6,11/- (15-12)"	B	15	D	C						203	203	203	rf-2(0)e3 lf-2e3 cf-2e3
BOA	"Bogaerts,X"	652	14	18	25.5	45.5	35.1	3	5	-5	14	14	7	28.8	37.8	39.1	1.5	1	-5	16	*6/- (17-6)	B	15	D	C					312				ss-3e12
MMN	"Bour,J*"	280	58	0	21.6	21.6	30.5	0	w	-10	19	12	13	21.7	34.7	41.6	5.9	8	-11	21	-/- (---)	E	8	D	D		507							1b-5e7
PHN	"Bourjos,P"	355	20	0	33.2	35.2	39.3	0	w	-15	16	30	2	21.7	25.7	39.4	0.8	0	-6	16	*3-6/12 (15-10)	C	15	B	D							202	102	rf-1(-1)e2 cf-2e2
BAA	"Bourn,M*"	375	34	0	32.4	32.4	44.2	0.6	w	6	7	25	7	22.1	29.1	37.7	3.2	w	5	6	*2-5/- (18-13)	A	16	A	B						212	212	212	cf-2(+1)e12 rf-2e12 lf-2e12
BOA	"Bradley,J*"	558	30	7	20.7	31.7	29.3	0.8	1	-7	13	24	13	21.7	38.7	46.9	5.3	8	-7	14	6/- (16-6)	C	14	D	D							103		cf-1(-3)e3
