TM	PITCHERS	IP	SO vlhp	BB vlhp	HIT v lhp	OB v lhp	TB v lhp	HR v lhp	BP v lhp	DP vlhp	SO v rhp	BB v rhp	HIT v rhp	OB v rhp	TB v rhp	HR v rhp	BP v rhp	DP v rhp	HO	ENDURANCE	FIELD	BK	WP	BAT-B	STL	SPD
BOA	"Abad,F*"	44	38	6	12.7	18.7	20.8	2.2	5	5	9	7	16.2	23.2	24.4	0.2	0	8	9	R(1) C(0)	3- 0	7	0	1WL-C	E	10
CIN	"Adleman,T"	122	13	12	17.2	29.2	47.2	7.5	8	4	27	12	19.2	31.2	40.1	3	5	8	0	S(5) R(3)	3- 0	3	1	1WR-D	E	10
SEA	"Albers,A*"	41	34	0	27.5	27.5	81.9	15.8	8	0	19	5	19.7	24.7	22.5	0	0	3	-3	S(5) R(3) C(0)	3- 0	0	5	3WR-B	E	10
WAN	"Albers,M"	61	27	10	2.2	12.2	7.1	1.2	1*	11	41	6	1.5	7.5	5.7	1.4	2*	10	0	R(1) C(1)	4- 0	0	0	1WL-C	E	10
KCA	"Alexander,S*"	69	29	15	18.5	33.5	25.3	0	0	10	20	11	15.6	26.6	17	0	0	12	0	R(2) C(3)	2-42	0	9	1WL-C	E	10
CLA	"Allen,C"	67	55	8	8.7	16.7	9.1	0	0	0	39	7	10.8	17.8	26.5	4	7	0	8	R(1) C(6)	4- 0	0	20	1WR-C	E	10
SEA	"Altavilla,D"	47	28	0	22.8	22.8	36.8	1.2	2	4	35	20	9	29	26	4.6	8*	4	8	R(2)	4- 0	0	20	1WR-C	E	10
TBA	"Alvarado,J*"	30	14	7	22.2	29.2	35.5	0	0	0	41	3	6.9	9.9	12.5	0	0	0	2	R(1)	4- 0	0	15	1WL-C	E	10
LAA	"Alvarez,J*"	49	26	0	18.6	18.6	41.8	4.1	7	6	24	0	27.1	27.1	28.9	0.6	1	7	-2	R(1) C(0)	2- 0	0	4	1WL-C	E	10
TOA	"Anderson,B*"	55	4	11	44.6	55.6	65.7	0	0	11	10	9	28.3	37.3	46.9	1.2	1	10	4	S(5)	3-26	0	7	1WL-C	E	10
MLN	"Anderson,C"	141	33	5	7.5	12.5	12.6	0.8	0	6	23	8	10.3	18.4	22.9	1.8	2	6	1	S(6)	2-10	0	0	2WR-D	E	14
CON	"Anderson,T*"	86	31	1	11.6	12.6	31.8	4.8	8	5	23	9	22.8	31.8	43.7	3.2	4	6	1	S(6) R(4)	2-33	9	15	1WL-B	E	10
TBA	"Andriese,M"	86	24	8	12.3	20.3	18.4	1	1	8	18	7	26.7	33.7	55	5.5	8	8	1	S(5) R(3) C(0)	4- 0	8	7	1WR-C	E	10
TBA	"Archer,C"	201	38	8	20.7	28.7	33.5	2	3	3	38	5	15.3	20.3	25.9	1.8	3	5	-2	S(6*)	4- 7	0	16	2WR-D	E	10
CHN	"Arrieta,J"	168	31	10	19.1	29.1	40.3	3.2	6	4	23	6	10.7	16.7	18.6	1.4	2	4	6	S(6)	2-17	0	19	6NR-B	E	14
CIN	"Arroyo,B"	71	12	6	26.3	32.3	82.6	15	8*	2	3	1	35.9	36.9	65.8	4.5	7	0	-1	S(5)	2- 0	0	2	2WR-B	E	10
BAA	"Asher,A"	60	27	11	15.3	26.3	25.8	0.8	1	7	6	6	20.6	26.6	37.4	4.5	6	7	5	S(5) R(3)	5- 0	0	14	1WR-C	E	10
LAN	"Avilan,L*"	46	39	16	9.9	26	14	0	0	2	29	11	23.2	34.2	40.8	0	0	5	0	R(1)	3-31	0	4	1WL-C	E	10
LAN	"Baez,P"	64	24	11	9.9	20.9	24.2	1.6	1	0	27	14	12.4	26.4	31.7	2.8	4	0	-1	R(1)	3- 0	6	2	1WR-C	E	10
CIN	"Bailey,H"	91	8	17	22.2	39.2	35.7	0.6	0	7	15	7	36.4	43.4	54.6	2.2	4	4	3	S(6)	3-16	0	8	4WR-A	E	13
TOA	"Barnes,D"	66	34	9	3.4	12.4	4.8	0.4	0*	8	22	11	8.5	19.5	25.3	4.8	8*	8	7	R(2)	4- 0	0	3	1WL-C	E	10
MLN	"Barnes,J"	72	41	14	11.1	25.1	20.5	0	0	6	30	11	6.8	17.8	19	3.4	5	10	-1	R(1) C(1)	2-51	0	19	1WR-C	E	10
BOA	"Barnes,M"	70	32	13	16.5	29.5	28.8	2.6	6	4	41	13	7.4	20.4	11	0	0	10	4	R(1) C(0)	3- 0	0	9	1WR-C	E	10
TEA	"Barnette,T"	57	8	10	27.1	37.2	41.8	1.2	1	8	37	7	18.8	25.8	33.1	1.6	2	6	-4	R(2) C(1)	3- 0	0	15	1WR-C	E	10
MMN	"Barraclough,K"	66	37	18	5.8	23.8	7.6	0.6	1	2	33	19	17.1	36.1	18.7	0	0	0	3	R(1) C(0)	4- 0	5	20	1WR-C	E	10
CLA	"Bauer,T"	176	28	10	15.9	25.8	31.7	3	5	6	38	8	16	24	25.5	0.8	0	6	-1	S(6)	3- 8	2	3	1WR-C	E	10
CHA	"Beck,C"	65	8	32	9.4	41.5	28.6	5	8*	12	9	4	26.4	30.4	49.6	4.3	7	12	0	R(2)	2-22	0	2	1WR-C	E	10
LAA	"Bedrosian,C"	45	44	3	14.7	17.6	34.8	3.6	6	1	26	15	15.3	30.3	22	0	0	6	4	R(1) C(3)	4- 0	0	20	1WR-C	E	10
MNA	"Belisle,M"	60	35	2	4.6	6.6	13.7	2.6	5	10	20	9	14.1	23.1	25.3	1.2	1	10	3	R(1) C(3)	3- 0	6	7	1WR-C	E	10
DEA	"Bell,C*"	62	28	14	22.4	36.3	34.8	3	5	3	15	11	27.4	38.5	44.6	3.2	6	7	3	S(5) R(3)	4- 0	0	2	1WR-C	E	10
PIN	"Benoit,J"	50	23	10	13.1	23.1	29.4	2.4	3	5	24	16	9.6	25.6	21	1.8	2*	5	0	R(1) C(1)	4- 0	0	4	1WR-C	E	10
SEA	"Bergman,C"	54	10	5	24.7	29.7	36.1	3.8	7	12	6	5	26	31	46	5	8	11	-1	S(5) R(4)	3- 0	0	0	1WR-C	E	10
MNA	"Berrios,J"	146	22	17	16.1	33.2	26.8	2	3	6	31	2	14	16	22	0.6	0	5	0	S(6)	3-10	3	10	1WR-D	E	10
NYA	"Betances,D"	60	63	15	0	15	0	0	0*	0	37	41	0	41	0	0	0*	0	9	R(1) C(4)	4- 0	5	18	1WR-C	E	10
CON	"Bettis,C"	46	20	2	18	20	42.3	3.2	5	1	0	5	30.5	35.5	47	2.8	4	1	-5	S(5)	3- 0	0	14	1WR-B	E	13
TOA	"Biagini,J"	120	23	6	21.8	27.8	36.8	1.8	3	3	12	11	16.6	27.6	25.4	1.2	2	3	9	S(5) R(3) C(0)	4-24	0	10	1WR-B	E	10
TEA	"Bibens-Dirkx,A"	69	0	10	11.4	21.4	24.9	3.2	6	7	13	3	20.3	23.3	38.5	3.8	6	9	-1	S(5) R(3)	3- 0	0	9	1WR-C	E	10
SFN	"Blach,T*"	164	0	4	20.3	24.3	25.8	0	0	10	0	4	25.5	29.5	43.6	2.2	5	10	0	S(6) R(3)	2-18	0	3	7NR-A	E	14
OAA	"Blackburn,P"	59	0	12	9.6	21.6	10.3	0	0	12	0	1	25.2	26.2	36.9	2.2	3	12	-5	S(6)	2- 0	0	3	1WR-C	E	10
WAN	"Blanton,J"	44	18	5	30	35	62.1	3.6	6	6	22	3	20.7	23.7	38.7	5	8	5	9	R(1)	5- 0	0	4	1WR-C	E	10
BAA	"Bleier,R*"	63	0	0	15	15	26.6	3.2	5	12	0	0	24.4	24.4	28.2	0	0	12	2	R(2)	2-23	0	18	1WL-C	E	10
NYN	"Blevins,J*"	49	57	6	8.1	14.1	8.1	0	0	0	22	29	13.4	42.3	34.5	4.3	7*	0	-6	R(1) C(0)	3-30	0	8	1WL-C	E	10
TOA	"Bolsinger,M"	41	33	21	10.6	31.6	15.8	0.8	1	4	10	23	27.8	50.8	62	7.5	8	4	7	S(5) R(4)	5- 0	0	14	1WR-C	E	10
CIN	"Bonilla,L"	37	0	20	24.6	44.6	54.9	5.8	8	5	23	19	18.9	37.9	34.4	2.2	3	3	7	S(5) R(3)	4- 0	0	16	1WR-D	E	10
MNA	"Boshers,B*"	35	11	0	13.8	13.8	30.9	2.6	5	1	23	8	22.3	30.3	40.5	4.5	8	1	9	R(2)	4- 0	0	12	1WL-C	E	10
SLN	"Bowman,M"	59	14	2	15.5	17.5	22.6	0	0	8	21	8	13.6	21.7	22.3	1	1	8	0	R(1) C(1)	2-24	0	3	1WR-B	E	12
DEA	"Boyd,M*"	135	15	12	24.8	36.8	35.9	0	0	5	18	9	23	31.9	40.1	2.4	4	5	-5	S(5)	2-21	0	2	3WL-C	E	10
BOA	"Boyer,B"	41	17	6	40.7	46.7	48	0	0	8	16	5	25.5	30.5	36.6	0	0	12	-3	R(2)	5- 0	0	5	1WR-C	E	10
BAA	"Brach,B"	68	28	5	10.8	15.8	17.8	0	0	5	36	16	5.4	21.5	15.6	3	4	3	-5	R(1) C(4)	2- 0	6	13	1WR-C	E	10
NYN	"Bradford,C"	34	2	11	16.1	27.1	21.1	0	0	1	34	8	8.3	16.3	19.9	1.8	2*	2	-3	R(2)	4- 0	0	6	1WR-C	E	10
ARN	"Bradley,A"	73	34	11	8.8	19.8	14.5	0	0	8	37	1	6.3	7.3	11.1	0	0	8	0	R(2) C(0)	3-20	5	0	2WR-B	E	13
OAA	"Brady,M"	32	11	0	12.4	12.4	44	10	8*	7	21	0	24.5	24.5	59.6	3.4	7*	7	-2	R(3)	3- 0	0	6	1WR-C	E	10
PIN	"Brault,S*"	35	2	14	13.6	27.6	26.3	0	0	0	9	7	25.9	32.8	40.5	1.2	2	0	1	S(5) R(3) C(0)	3- 0	0	0	4WL-D	E	10
SLN	"Brebbia,J"	52	31	0	8.6	8.6	31.8	6.3	8*	0	30	0	5.1	5.1	12.2	1.2	2*	0	5	R(1)	4- 0	0	8	1WR-C	E	10
CLA	"Breslow,C*"	35	8	14	13.6	27.6	23.5	0	0*	0	11	6	31.9	37.9	50.5	2.6	4	0	4	R(1)	2- 0	0	5	1WL-C	E	10
CIN	"Brice,A"	33	17	0	13.9	13.9	41	9	8	8	18	5	26.1	31.1	32.6	1.2	1	8	9	R(2)	4- 0	0	0	1WR-C	E	10
LAA	"Bridwell,P"	121	8	9	16.6	25.6	31.3	3.2	5	6	9	1	19.6	20.6	26.9	2.4	3	7	-5	S(6)	2-24	0	7	1WR-C	E	10
BAA	"Britton,Z*"	37	25	7	19.5	26.5	32.3	0	0	12	13	15	22.6	37.6	22.6	0	0	12	1	R(1) C(5)	2-39	0	20	1WL-C	E	10
KCA	"Buchter,R*"	65	38	14	4.5	18.5	16.2	3.6	7*	1	25	10	3.3	13.3	12	2.6	5*	1	-4	R(1) C(0)	2- 0	7	0	1WL-C	E	10
SFN	"Bumgarner,M*"	111	15	0	11.3	11.3	12.9	0	0	3	27	0	14.9	14.9	34.8	3.4	8	3	0	S(6)	2- 0	0	0	7NR-C	E	10
BAA	"Bundy,D"	170	14	7	18.5	25.5	33.3	2.2	3	8	33	7	10.6	17.6	22	2.4	4	6	-1	S(6)	2- 8	0	0	1WS-C	E	10
MNA	"Busenitz,A"	32	34	1	14.1	15.1	25.8	0.8	1	11	10	13	6.4	19.5	16.2	3	4*	10	-2	R(2)	2-46	0	15	1WR-C	E	10
TEA	"Bush,M"	52	38	10	18.4	28.4	32.1	2.6	5	0	24	8	14.9	22.9	22.2	0.6	0	0	9	R(1) C(3)	2-27	0	7	1WR-C	E	10
CHN	"Butler,E"	55	7	21	8.6	29.6	15.4	0	0	6	1	12	20.4	32.3	33.3	1	1	5	-2	S(5) R(3)	3- 0	0	12	1WR-A	E	10
KCA	"Cahill,T"	84	27	22	9.6	31.6	19.3	1.6	3	6	25	12	22.8	34.8	43.8	4.8	8	5	9	S(5) R(3)	4- 0	0	20	5WR-A	E	10
SFN	"Cain,M"	124	6	13	26.9	39.9	36.7	1.2	2	8	4	4	28.8	32.8	43.8	3	7	7	8	S(5) R(3)	3-12	0	4	2WR-C	E	12
CLA	"Carrasco,C"	200	38	4	15.1	19.1	31.1	3	4	10	39	3	14.8	17.8	23.2	0	0	11	0	S(6*)	2- 0	0	11	1WR-D	E	10
TEA	"Cashner,A"	167	5	16	10.1	26.1	13.7	1.2	2	11	2	7	16.2	23.2	22.1	0	0	11	-1	S(6)	3- 0	2	13	1WR-B	E	15
OAA	"Casilla,S"	59	21	20	11.5	31.5	22	2.4	5	1	32	3	17.8	20.8	31.2	1.6	2	0	9	R(1) C(4)	5-24	0	10	1WR-C	E	10
CIN	"Castillo,L"	89	32	7	7.3	14.3	16	1.8	2	3	39	13	9.9	22.9	22.2	1.8	3	0	-1	S(6)	3- 0	5	4	1WR-C	E	10
BAA	"Castro,M"	66	0	17	15	32	28.3	3.4	5	9	13	7	8.4	15.4	15.7	0.4	0	9	2	R(2)	2- 0	0	6	1WR-C	E	10
OAA	"Castro,S"	37	33	18	4.2	22.2	14.8	3.2	6*	8	22	6	16.6	22.6	39.7	4	8*	6	9	R(2)	3-39	0	5	1WR-C	E	10
SLN	"Cecil,B*"	67	10	13	28.6	41.6	50.4	1.8	2	5	39	0	11.8	11.8	19.6	1.2	2	4	3	R(1) C(0)	2-22	0	10	1WR-C	E	10
NYA	"Cessa,L"	36	9	16	10.4	26.4	15.4	0	0	1	22	14	21.4	35.4	49.9	5.8	8	2	1	S(5) R(3)	3- 0	0	11	1WR-C	E	10
SDN	"Chacin,J"	180	14	15	13.3	28.3	24.9	2	4	6	28	6	10.6	16.6	15.6	0.6	0	6	-2	S(6)	2- 8	2	8	3WR-A	D	13
ARN	"Chafin,A*"	51	31	7	10.5	17.5	11.3	0	0	1	42	11	15.6	26.6	29.1	2	2	0	-4	R(1)	4- 0	8	3	1WR-C	E	10
NYA	"Chapman,A*"	50	60	5	7.4	12.4	7.4	0	0	0	43	12	9.9	21.9	16.9	0	0	0	9	R(1) C(5)	4- 0	0	20	1WL-C	E	10
CON	"Chatwood,T"	148	20	21	16.8	37.8	30	2	3	11	15	13	13.2	26.2	30.3	2	2	13	-1	S(5) R(3) C(0)	1- 0	5	18	2WR-A	E	14
